t_h,Cbar,V_over_V0,beta
1.0000,2.185555,0.804609,0.536134
1.0167,2.180530,0.802063,0.535733
1.0333,2.175515,0.799484,0.535445
1.0500,2.170510,0.796875,0.535258
1.0667,2.165514,0.794239,0.535158
1.0833,2.160527,0.791579,0.535136
1.1000,2.155549,0.788898,0.535180
1.1167,2.150580,0.786197,0.535282
1.1333,2.145618,0.783481,0.535432
1.1500,2.140667,0.780752,0.535622
1.1667,2.135723,0.778012,0.535844
1.1833,2.130787,0.775264,0.536090
1.2000,2.125859,0.772512,0.536351
1.2167,2.120938,0.769757,0.536620
1.2333,2.116024,0.767002,0.536891
1.2500,2.111118,0.764250,0.537160
1.2667,2.106220,0.761504,0.537420
1.2833,2.101328,0.758765,0.537664
1.3000,2.096443,0.756038,0.537887
1.3167,2.091565,0.753323,0.538084
1.3333,2.086693,0.750625,0.538250
1.3500,2.081826,0.747944,0.538380
1.3667,2.076966,0.745285,0.538471
1.3833,2.072113,0.742649,0.538519
1.4000,2.067267,0.740038,0.538520
1.4167,2.062428,0.737456,0.538472
1.4333,2.057597,0.734904,0.538371
1.4500,2.052771,0.732386,0.538211
1.4667,2.047952,0.729903,0.537991
1.4833,2.043141,0.727457,0.537709
1.5000,2.038336,0.725052,0.537360
1.5167,2.033538,0.722655,0.537010
1.5333,2.028748,0.720234,0.536719
1.5500,2.023964,0.717795,0.536475
1.5667,2.019187,0.715341,0.536270
1.5833,2.014416,0.712877,0.536094
1.6000,2.009652,0.710407,0.535938
1.6167,2.004894,0.707935,0.535795
1.6333,2.000144,0.705466,0.535656
1.6500,1.995400,0.703005,0.535512
1.6667,1.990662,0.700554,0.535357
1.6833,1.985930,0.698119,0.535183
1.7000,1.981203,0.695704,0.534982
1.7167,1.976483,0.693312,0.534750
1.7333,1.971770,0.690948,0.534479
1.7500,1.967062,0.688616,0.534163
1.7667,1.962360,0.686320,0.533797
1.7833,1.957665,0.684064,0.533375
1.8000,1.952977,0.681851,0.532892
1.8167,1.948297,0.679687,0.532344
1.8333,1.943624,0.677574,0.531725
1.8500,1.938958,0.675518,0.531031
1.8667,1.934301,0.673521,0.530258
1.8833,1.929652,0.671587,0.529401
1.9000,1.925010,0.669721,0.528455
1.9167,1.920378,0.667926,0.527418
1.9333,1.915754,0.666207,0.526284
1.9500,1.911138,0.664566,0.525050
1.9667,1.906531,0.663008,0.523711
1.9833,1.901935,0.661537,0.522267
2.0000,1.897347,0.660156,0.520711
2.0167,1.892769,0.658847,0.519077
2.0333,1.888201,0.657585,0.517401
2.0500,1.883646,0.656367,0.515691
2.0667,1.879102,0.655193,0.513949
2.0833,1.874571,0.654057,0.512182
2.1000,1.870050,0.652959,0.510392
2.1167,1.865541,0.651896,0.508583
2.1333,1.861045,0.650865,0.506760
2.1500,1.856560,0.649863,0.504928
2.1667,1.852087,0.648888,0.503089
2.1833,1.847625,0.647938,0.501246
2.2000,1.843175,0.647009,0.499403
2.2167,1.838736,0.646100,0.497565
2.2333,1.834309,0.645208,0.495733
2.2500,1.829895,0.644330,0.493914
2.2667,1.825494,0.643465,0.492108
2.2833,1.821104,0.642609,0.490319
2.3000,1.816726,0.641759,0.488550
2.3167,1.812361,0.640915,0.486803
2.3333,1.808008,0.640072,0.485083
2.3500,1.803668,0.639230,0.483391
2.3667,1.799339,0.638384,0.481730
2.3833,1.795021,0.637534,0.480101
2.4000,1.790716,0.636675,0.478509
2.4167,1.786423,0.635807,0.476956
2.4333,1.782142,0.634926,0.475444
2.4500,1.777872,0.634030,0.473975
2.4667,1.773613,0.633118,0.472551
2.4833,1.769367,0.632185,0.471176
2.5000,1.765133,0.631230,0.469850
2.5167,1.760910,0.630265,0.468558
2.5333,1.756697,0.629303,0.467283
2.5500,1.752496,0.628343,0.466025
2.5667,1.748305,0.627386,0.464783
2.5833,1.744126,0.626430,0.463559
2.6000,1.739958,0.625475,0.462352
2.6167,1.735800,0.624522,0.461162
2.6333,1.731653,0.623569,0.459989
2.6500,1.727515,0.622617,0.458833
2.6667,1.723390,0.621665,0.457694
2.6833,1.719275,0.620713,0.456573
2.7000,1.715170,0.619761,0.455469
2.7167,1.711076,0.618808,0.454382
2.7333,1.706994,0.617853,0.453314
2.7500,1.702921,0.616897,0.452263
2.7667,1.698859,0.615940,0.451230
2.7833,1.694806,0.614980,0.450214
2.8000,1.690763,0.614018,0.449215
2.8167,1.686732,0.613053,0.448235
2.8333,1.682709,0.612085,0.447272
2.8500,1.678696,0.611114,0.446326
2.8667,1.674694,0.610140,0.445399
2.8833,1.670702,0.609161,0.444489
2.9000,1.666718,0.608178,0.443597
2.9167,1.662745,0.607191,0.442724
2.9333,1.658784,0.606199,0.441869
2.9500,1.654831,0.605202,0.441032
2.9667,1.650888,0.604199,0.440213
2.9833,1.646954,0.603191,0.439412
3.0000,1.643028,0.602176,0.438629
3.0167,1.639110,0.601150,0.437869
3.0333,1.635202,0.600109,0.437136
3.0500,1.631303,0.599053,0.436430
3.0667,1.627415,0.597984,0.435749
3.0833,1.623535,0.596904,0.435091
3.1000,1.619664,0.595813,0.434452
3.1167,1.615802,0.594714,0.433833
3.1333,1.611949,0.593607,0.433231
3.1500,1.608105,0.592494,0.432644
3.1667,1.604271,0.591377,0.432072
3.1833,1.600443,0.590256,0.431511
3.2000,1.596625,0.589132,0.430962
3.2167,1.592815,0.588008,0.430420
3.2333,1.589012,0.586884,0.429886
3.2500,1.585218,0.585762,0.429359
3.2667,1.581433,0.584644,0.428836
3.2833,1.577656,0.583529,0.428317
3.3000,1.573888,0.582420,0.427799
3.3167,1.570128,0.581319,0.427282
3.3333,1.566376,0.580225,0.426763
3.3500,1.562631,0.579141,0.426243
3.3667,1.558894,0.578068,0.425718
3.3833,1.555164,0.577007,0.425189
3.4000,1.551444,0.575960,0.424654
3.4167,1.547734,0.574927,0.424112
3.4333,1.544032,0.573909,0.423563
3.4500,1.540337,0.572909,0.423003
3.4667,1.536650,0.571928,0.422433
3.4833,1.532972,0.570966,0.421851
3.5000,1.529302,0.570025,0.421256
3.5167,1.525641,0.569100,0.420653
3.5333,1.521987,0.568187,0.420046
3.5500,1.518341,0.567284,0.419437
3.5667,1.514703,0.566391,0.418825
3.5833,1.511074,0.565508,0.418213
3.6000,1.507453,0.564634,0.417598
3.6167,1.503841,0.563769,0.416983
3.6333,1.500238,0.562913,0.416368
3.6500,1.496643,0.562064,0.415752
3.6667,1.493055,0.561223,0.415137
3.6833,1.489476,0.560390,0.414522
3.7000,1.485906,0.559563,0.413908
3.7167,1.482343,0.558743,0.413295
3.7333,1.478789,0.557928,0.412684
3.7500,1.475243,0.557119,0.412075
3.7667,1.471705,0.556316,0.411468
3.7833,1.468175,0.555517,0.410864
3.8000,1.464653,0.554722,0.410263
3.8167,1.461139,0.553932,0.409665
3.8333,1.457635,0.553145,0.409071
3.8500,1.454138,0.552361,0.408481
3.8667,1.450649,0.551580,0.407895
3.8833,1.447168,0.550801,0.407314
3.9000,1.443694,0.550024,0.406737
3.9167,1.440229,0.549249,0.406166
3.9333,1.436771,0.548475,0.405600
3.9500,1.433322,0.547701,0.405039
3.9667,1.429881,0.546929,0.404485
3.9833,1.426447,0.546156,0.403937
4.0000,1.423022,0.545382,0.403395
4.0167,1.419604,0.544608,0.402861
4.0333,1.416194,0.543833,0.402333
4.0500,1.412791,0.543057,0.401810
4.0667,1.409395,0.542282,0.401294
4.0833,1.406007,0.541507,0.400783
4.1000,1.402626,0.540733,0.400277
4.1167,1.399252,0.539959,0.399775
4.1333,1.395886,0.539188,0.399278
4.1500,1.392527,0.538419,0.398784
4.1667,1.389175,0.537652,0.398293
4.1833,1.385831,0.536888,0.397805
4.2000,1.382494,0.536127,0.397320
4.2167,1.379165,0.535370,0.396836
4.2333,1.375843,0.534617,0.396355
4.2500,1.372528,0.533869,0.395875
4.2667,1.369220,0.533125,0.395395
4.2833,1.365920,0.532387,0.394917
4.3000,1.362626,0.531654,0.394439
4.3167,1.359341,0.530928,0.393960
4.3333,1.356062,0.530208,0.393481
4.3500,1.352791,0.529495,0.393002
4.3667,1.349527,0.528789,0.392521
4.3833,1.346270,0.528091,0.392039
4.4000,1.343021,0.527401,0.391556
4.4167,1.339779,0.526719,0.391070
4.4333,1.336545,0.526046,0.390582
4.4500,1.333317,0.525383,0.390091
4.4667,1.330097,0.524729,0.389597
4.4833,1.326885,0.524086,0.389100
4.5000,1.323679,0.523452,0.388600
4.5167,1.320482,0.522831,0.388094
4.5333,1.317291,0.522221,0.387584
4.5500,1.314108,0.521624,0.387070
4.5667,1.310933,0.521037,0.386551
4.5833,1.307765,0.520460,0.386030
4.6000,1.304604,0.519892,0.385507
4.6167,1.301452,0.519332,0.384982
4.6333,1.298306,0.518779,0.384455
4.6500,1.295168,0.518234,0.383929
4.6667,1.292038,0.517694,0.383402
4.6833,1.288915,0.517160,0.382877
4.7000,1.285800,0.516630,0.382353
4.7167,1.282693,0.516103,0.381831
4.7333,1.279592,0.515579,0.381311
4.7500,1.276500,0.515058,0.380795
4.7667,1.273415,0.514537,0.380282
4.7833,1.270337,0.514017,0.379774
4.8000,1.267267,0.513496,0.379271
4.8167,1.264205,0.512975,0.378773
4.8333,1.261150,0.512451,0.378282
4.8500,1.258102,0.511925,0.377797
4.8667,1.255062,0.511396,0.377319
4.8833,1.252029,0.510862,0.376848
4.9000,1.249003,0.510323,0.376386
4.9167,1.245984,0.509779,0.375932
4.9333,1.242973,0.509228,0.375487
4.9500,1.239969,0.508670,0.375052
4.9667,1.236972,0.508104,0.374628
4.9833,1.233982,0.507529,0.374213
5.0000,1.231000,0.506944,0.373810
5.0167,1.228024,0.506350,0.373418
5.0333,1.225055,0.505746,0.373037
5.0500,1.222093,0.505134,0.372666
5.0667,1.219137,0.504514,0.372304
5.0833,1.216189,0.503887,0.371951
5.1000,1.213247,0.503254,0.371607
5.1167,1.210312,0.502614,0.371270
5.1333,1.207383,0.501970,0.370940
5.1500,1.204461,0.501322,0.370616
5.1667,1.201545,0.500669,0.370298
5.1833,1.198636,0.500014,0.369986
5.2000,1.195734,0.499357,0.369679
5.2167,1.192837,0.498698,0.369375
5.2333,1.189948,0.498038,0.369076
5.2500,1.187064,0.497378,0.368779
5.2667,1.184187,0.496718,0.368486
5.2833,1.181317,0.496059,0.368194
5.3000,1.178452,0.495402,0.367904
5.3167,1.175594,0.494748,0.367615
5.3333,1.172742,0.494097,0.367327
5.3500,1.169897,0.493449,0.367039
5.3667,1.167058,0.492806,0.366750
5.3833,1.164225,0.492168,0.366461
5.4000,1.161398,0.491536,0.366170
5.4167,1.158578,0.490910,0.365877
5.4333,1.155764,0.490292,0.365582
5.4500,1.152956,0.489681,0.365285
5.4667,1.150155,0.489079,0.364984
5.4833,1.147360,0.488486,0.364680
5.5000,1.144571,0.487902,0.364371
5.5167,1.141789,0.487325,0.364061
5.5333,1.139013,0.486749,0.363753
5.5500,1.136243,0.486175,0.363446
5.5667,1.133480,0.485604,0.363141
5.5833,1.130723,0.485035,0.362836
5.6000,1.127972,0.484468,0.362533
5.6167,1.125228,0.483904,0.362231
5.6333,1.122490,0.483342,0.361929
5.6500,1.119758,0.482784,0.361628
5.6667,1.117032,0.482228,0.361328
5.6833,1.114313,0.481676,0.361029
5.7000,1.111601,0.481127,0.360730
5.7167,1.108894,0.480581,0.360431
5.7333,1.106194,0.480039,0.360132
5.7500,1.103500,0.479500,0.359834
5.7667,1.100812,0.478966,0.359535
5.7833,1.098131,0.478435,0.359237
5.8000,1.095456,0.477909,0.358938
5.8167,1.092787,0.477387,0.358639
5.8333,1.090125,0.476870,0.358339
5.8500,1.087469,0.476357,0.358039
5.8667,1.084819,0.475848,0.357739
5.8833,1.082175,0.475345,0.357437
5.9000,1.079538,0.474846,0.357135
5.9167,1.076907,0.474353,0.356832
5.9333,1.074283,0.473865,0.356528
5.9500,1.071664,0.473383,0.356223
5.9667,1.069052,0.472906,0.355917
5.9833,1.066447,0.472434,0.355609
6.0000,1.063847,0.471969,0.355301
6.0167,1.061254,0.471510,0.354990
6.0333,1.058668,0.471059,0.354677
6.0500,1.056087,0.470614,0.354362
6.0667,1.053513,0.470176,0.354045
6.0833,1.050946,0.469744,0.353727
6.1000,1.048385,0.469317,0.353408
6.1167,1.045830,0.468896,0.353088
6.1333,1.043282,0.468479,0.352767
6.1500,1.040740,0.468067,0.352446
6.1667,1.038204,0.467658,0.352126
6.1833,1.035675,0.467253,0.351805
6.2000,1.033153,0.466851,0.351485
6.2167,1.030636,0.466452,0.351165
6.2333,1.028126,0.466055,0.350847
6.2500,1.025623,0.465660,0.350530
6.2667,1.023126,0.465267,0.350214
6.2833,1.020635,0.464875,0.349900
6.3000,1.018151,0.464483,0.349589
6.3167,1.015673,0.464091,0.349279
6.3333,1.013201,0.463699,0.348973
6.3500,1.010736,0.463307,0.348669
6.3667,1.008277,0.462914,0.348368
6.3833,1.005824,0.462519,0.348070
6.4000,1.003378,0.462123,0.347776
6.4167,1.000938,0.461724,0.347485
6.4333,0.998504,0.461323,0.347199
6.4500,0.996076,0.460919,0.346916
6.4667,0.993654,0.460511,0.346638
6.4833,0.991239,0.460100,0.346365
6.5000,0.988830,0.459684,0.346097
6.5167,0.986427,0.459264,0.345833
6.5333,0.984029,0.458841,0.345574
6.5500,0.981638,0.458415,0.345319
6.5667,0.979253,0.457986,0.345068
6.5833,0.976875,0.457554,0.344820
6.6000,0.974502,0.457120,0.344576
6.6167,0.972135,0.456685,0.344336
6.6333,0.969773,0.456248,0.344098
6.6500,0.967418,0.455809,0.343863
6.6667,0.965069,0.455370,0.343630
6.6833,0.962726,0.454930,0.343400
6.7000,0.960388,0.454490,0.343172
6.7167,0.958056,0.454050,0.342945
6.7333,0.955731,0.453611,0.342721
6.7500,0.953411,0.453172,0.342498
6.7667,0.951096,0.452734,0.342276
6.7833,0.948788,0.452298,0.342055
6.8000,0.946485,0.451863,0.341835
6.8167,0.944189,0.451430,0.341615
6.8333,0.941898,0.451000,0.341396
6.8500,0.939612,0.450572,0.341178
6.8667,0.937333,0.450147,0.340959
6.8833,0.935059,0.449725,0.340740
6.9000,0.932791,0.449307,0.340520
6.9167,0.930529,0.448893,0.340300
6.9333,0.928273,0.448483,0.340080
6.9500,0.926022,0.448078,0.339858
6.9667,0.923777,0.447678,0.339635
6.9833,0.921538,0.447282,0.339411
7.0000,0.919305,0.446892,0.339185
7.0167,0.917077,0.446505,0.338960
7.0333,0.914855,0.446116,0.338737
7.0500,0.912639,0.445727,0.338516
7.0667,0.910429,0.445338,0.338297
7.0833,0.908225,0.444948,0.338080
7.1000,0.906026,0.444560,0.337864
7.1167,0.903833,0.444172,0.337650
7.1333,0.901645,0.443785,0.337436
7.1500,0.899463,0.443400,0.337224
7.1667,0.897287,0.443017,0.337012
7.1833,0.895117,0.442636,0.336800
7.2000,0.892952,0.442257,0.336588
7.2167,0.890793,0.441881,0.336377
7.2333,0.888640,0.441509,0.336165
7.2500,0.886492,0.441140,0.335953
7.2667,0.884350,0.440775,0.335740
7.2833,0.882213,0.440414,0.335526
7.3000,0.880083,0.440058,0.335311
7.3167,0.877957,0.439706,0.335095
7.3333,0.875838,0.439360,0.334878
7.3500,0.873724,0.439019,0.334659
7.3667,0.871616,0.438685,0.334438
7.3833,0.869514,0.438356,0.334215
7.4000,0.867417,0.438035,0.333990
7.4167,0.865326,0.437720,0.333762
7.4333,0.863241,0.437412,0.333532
7.4500,0.861161,0.437112,0.333299
7.4667,0.859087,0.436820,0.333063
7.4833,0.857019,0.436536,0.332824
7.5000,0.854957,0.436260,0.332581
7.5167,0.852900,0.435993,0.332336
7.5333,0.850849,0.435734,0.332087
7.5500,0.848804,0.435482,0.331836
7.5667,0.846765,0.435237,0.331583
7.5833,0.844732,0.434998,0.331327
7.6000,0.842704,0.434765,0.331071
7.6167,0.840683,0.434537,0.330812
7.6333,0.838667,0.434314,0.330553
7.6500,0.836657,0.434095,0.330293
7.6667,0.834652,0.433881,0.330032
7.6833,0.832654,0.433669,0.329771
7.7000,0.830662,0.433461,0.329510
7.7167,0.828675,0.433255,0.329249
7.7333,0.826694,0.433051,0.328989
7.7500,0.824719,0.432849,0.328730
7.7667,0.822750,0.432648,0.328471
7.7833,0.820786,0.432447,0.328214
7.8000,0.818829,0.432247,0.327959
7.8167,0.816877,0.432046,0.327706
7.8333,0.814931,0.431844,0.327454
7.8500,0.812990,0.431641,0.327205
7.8667,0.811056,0.431437,0.326959
7.8833,0.809127,0.431230,0.326715
7.9000,0.807203,0.431020,0.326475
7.9167,0.805286,0.430807,0.326238
7.9333,0.803374,0.430591,0.326005
7.9500,0.801468,0.430371,0.325776
7.9667,0.799567,0.430146,0.325550
7.9833,0.797672,0.429916,0.325330
8.0000,0.795782,0.429680,0.325113
8.0167,0.793898,0.429439,0.324902
8.0333,0.792020,0.429191,0.324696
8.0500,0.790146,0.428938,0.324494
8.0667,0.788279,0.428679,0.324297
8.0833,0.786416,0.428417,0.324103
8.1000,0.784559,0.428150,0.323914
8.1167,0.782708,0.427879,0.323727
8.1333,0.780861,0.427606,0.323544
8.1500,0.779020,0.427330,0.323364
8.1667,0.777184,0.427052,0.323185
8.1833,0.775354,0.426772,0.323010
8.2000,0.773528,0.426492,0.322836
8.2167,0.771708,0.426211,0.322663
8.2333,0.769893,0.425930,0.322492
8.2500,0.768083,0.425649,0.322322
8.2667,0.766279,0.425370,0.322152
8.2833,0.764479,0.425092,0.321983
8.3000,0.762685,0.424817,0.321814
8.3167,0.760896,0.424543,0.321645
8.3333,0.759112,0.424273,0.321475
8.3500,0.757333,0.424007,0.321305
8.3667,0.755559,0.423744,0.321134
8.3833,0.753790,0.423486,0.320961
8.4000,0.752026,0.423233,0.320787
8.4167,0.750268,0.422986,0.320611
8.4333,0.748515,0.422745,0.320433
8.4500,0.746766,0.422510,0.320252
8.4667,0.745023,0.422282,0.320069
8.4833,0.743285,0.422062,0.319883
8.5000,0.741552,0.421850,0.319694
8.5167,0.739825,0.421645,0.319502
8.5333,0.738102,0.421446,0.319308
8.5500,0.736385,0.421252,0.319113
8.5667,0.734673,0.421063,0.318916
8.5833,0.732966,0.420878,0.318718
8.6000,0.731264,0.420697,0.318519
8.6167,0.729567,0.420520,0.318320
8.6333,0.727875,0.420347,0.318119
8.6500,0.726189,0.420177,0.317918
8.6667,0.724508,0.420009,0.317718
8.6833,0.722831,0.419844,0.317517
8.7000,0.721160,0.419680,0.317316
8.7167,0.719495,0.419519,0.317115
8.7333,0.717834,0.419358,0.316915
8.7500,0.716178,0.419199,0.316716
8.7667,0.714527,0.419040,0.316518
8.7833,0.712882,0.418881,0.316321
8.8000,0.711242,0.418722,0.316125
8.8167,0.709606,0.418562,0.315931
8.8333,0.707976,0.418402,0.315739
8.8500,0.706351,0.418240,0.315548
8.8667,0.704730,0.418077,0.315359
8.8833,0.703115,0.417912,0.315173
8.9000,0.701505,0.417744,0.314989
8.9167,0.699899,0.417574,0.314808
8.9333,0.698299,0.417401,0.314629
8.9500,0.696703,0.417224,0.314454
8.9667,0.695113,0.417044,0.314281
8.9833,0.693527,0.416859,0.314112
9.0000,0.691946,0.416670,0.313947
9.0167,0.690370,0.416477,0.313785
9.0333,0.688799,0.416279,0.313626
9.0500,0.687232,0.416077,0.313471
9.0667,0.685670,0.415871,0.313319
9.0833,0.684113,0.415661,0.313169
9.1000,0.682561,0.415449,0.313023
9.1167,0.681013,0.415234,0.312879
9.1333,0.679470,0.415016,0.312737
9.1500,0.677932,0.414796,0.312598
9.1667,0.676398,0.414574,0.312460
9.1833,0.674869,0.414351,0.312324
9.2000,0.673344,0.414127,0.312190
9.2167,0.671824,0.413901,0.312057
9.2333,0.670308,0.413675,0.311926
9.2500,0.668797,0.413449,0.311796
9.2667,0.667291,0.413223,0.311666
9.2833,0.665789,0.412997,0.311538
9.3000,0.664291,0.412772,0.311410
9.3167,0.662798,0.412548,0.311282
9.3333,0.661310,0.412325,0.311155
9.3500,0.659826,0.412104,0.311027
9.3667,0.658346,0.411885,0.310900
9.3833,0.656871,0.411668,0.310772
9.4000,0.655400,0.411454,0.310644
9.4167,0.653933,0.411242,0.310515
9.4333,0.652472,0.411034,0.310386
9.4500,0.651014,0.410830,0.310255
9.4667,0.649561,0.410629,0.310124
9.4833,0.648112,0.410432,0.309991
9.5000,0.646668,0.410240,0.309856
9.5167,0.645228,0.410051,0.309721
9.5333,0.643792,0.409864,0.309586
9.5500,0.642361,0.409679,0.309451
9.5667,0.640935,0.409495,0.309316
9.5833,0.639512,0.409313,0.309181
9.6000,0.638094,0.409132,0.309046
9.6167,0.636680,0.408953,0.308912
9.6333,0.635271,0.408776,0.308777
9.6500,0.633866,0.408599,0.308643
9.6667,0.632465,0.408425,0.308508
9.6833,0.631069,0.408251,0.308374
9.7000,0.629677,0.408079,0.308240
9.7167,0.628289,0.407908,0.308107
9.7333,0.626906,0.407738,0.307974
9.7500,0.625527,0.407569,0.307841
9.7667,0.624152,0.407401,0.307708
9.7833,0.622781,0.407234,0.307576
9.8000,0.621415,0.407068,0.307444
9.8167,0.620053,0.406903,0.307312
9.8333,0.618695,0.406739,0.307181
9.8500,0.617341,0.406576,0.307051
9.8667,0.615992,0.406413,0.306921
9.8833,0.614647,0.406251,0.306791
9.9000,0.613305,0.406090,0.306662
9.9167,0.611969,0.405929,0.306533
9.9333,0.610636,0.405769,0.306405
9.9500,0.609307,0.405609,0.306278
9.9667,0.607983,0.405450,0.306151
9.9833,0.606662,0.405291,0.306025
10.0000,0.605346,0.405132,0.305899
10.0167,0.604034,0.404974,0.305774
10.0333,0.602726,0.404817,0.305650
10.0500,0.601422,0.404660,0.305526
10.0667,0.600123,0.404503,0.305402
10.0833,0.598827,0.404348,0.305279
10.1000,0.597535,0.404193,0.305156
10.1167,0.596248,0.404038,0.305034
10.1333,0.594964,0.403885,0.304913
10.1500,0.593684,0.403732,0.304792
10.1667,0.592409,0.403579,0.304671
10.1833,0.591137,0.403427,0.304550
10.2000,0.589870,0.403277,0.304431
10.2167,0.588606,0.403126,0.304311
10.2333,0.587346,0.402977,0.304192
10.2500,0.586091,0.402828,0.304073
10.2667,0.584839,0.402680,0.303955
10.2833,0.583591,0.402532,0.303837
10.3000,0.582347,0.402386,0.303719
10.3167,0.581107,0.402240,0.303602
10.3333,0.579871,0.402095,0.303485
10.3500,0.578639,0.401951,0.303369
10.3667,0.577411,0.401807,0.303253
10.3833,0.576187,0.401664,0.303137
10.4000,0.574966,0.401523,0.303021
10.4167,0.573749,0.401382,0.302906
10.4333,0.572537,0.401241,0.302791
10.4500,0.571328,0.401102,0.302677
10.4667,0.570123,0.400963,0.302562
10.4833,0.568921,0.400826,0.302448
10.5000,0.567724,0.400689,0.302335
10.5167,0.566530,0.400554,0.302221
10.5333,0.565340,0.400420,0.302107
10.5500,0.564154,0.400288,0.301993
10.5667,0.562971,0.400158,0.301879
10.5833,0.561793,0.400029,0.301765
10.6000,0.560618,0.399902,0.301651
10.6167,0.559447,0.399775,0.301537
10.6333,0.558279,0.399650,0.301423
10.6500,0.557116,0.399526,0.301309
10.6667,0.555956,0.399402,0.301196
10.6833,0.554799,0.399280,0.301083
10.7000,0.553647,0.399157,0.300970
10.7167,0.552498,0.399035,0.300858
10.7333,0.551353,0.398914,0.300747
10.7500,0.550211,0.398792,0.300636
10.7667,0.549073,0.398671,0.300525
10.7833,0.547939,0.398549,0.300416
10.8000,0.546808,0.398427,0.300307
10.8167,0.545681,0.398305,0.300199
10.8333,0.544558,0.398183,0.300092
10.8500,0.543438,0.398059,0.299986
10.8667,0.542321,0.397935,0.299881
10.8833,0.541209,0.397810,0.299777
10.9000,0.540100,0.397684,0.299674
10.9167,0.538994,0.397557,0.299573
10.9333,0.537892,0.397429,0.299473
10.9500,0.536793,0.397299,0.299374
10.9667,0.535698,0.397168,0.299276
10.9833,0.534606,0.397035,0.299180
11.0000,0.533518,0.396900,0.299085
11.0167,0.532434,0.396763,0.298992
11.0333,0.531352,0.396623,0.298902
11.0500,0.530274,0.396480,0.298813
11.0667,0.529200,0.396335,0.298726
11.0833,0.528129,0.396188,0.298640
11.1000,0.527061,0.396038,0.298557
11.1167,0.525997,0.395887,0.298474
11.1333,0.524936,0.395735,0.298393
11.1500,0.523878,0.395582,0.298313
11.1667,0.522824,0.395427,0.298234
11.1833,0.521772,0.395272,0.298156
11.2000,0.520725,0.395116,0.298079
11.2167,0.519680,0.394960,0.298002
11.2333,0.518639,0.394804,0.297926
11.2500,0.517601,0.394649,0.297851
11.2667,0.516566,0.394493,0.297775
11.2833,0.515534,0.394339,0.297700
11.3000,0.514506,0.394185,0.297625
11.3167,0.513481,0.394033,0.297550
11.3333,0.512459,0.393882,0.297475
11.3500,0.511440,0.393733,0.297400
11.3667,0.510425,0.393585,0.297324
11.3833,0.509412,0.393440,0.297248
11.4000,0.508403,0.393297,0.297171
11.4167,0.507397,0.393157,0.297093
11.4333,0.506394,0.393019,0.297015
11.4500,0.505395,0.392885,0.296935
11.4667,0.504398,0.392754,0.296855
11.4833,0.503405,0.392626,0.296773
11.5000,0.502414,0.392502,0.296690
11.5167,0.501427,0.392381,0.296606
11.5333,0.500443,0.392262,0.296522
11.5500,0.499462,0.392144,0.296438
11.5667,0.498485,0.392027,0.296353
11.5833,0.497510,0.391912,0.296268
11.6000,0.496538,0.391798,0.296184
11.6167,0.495570,0.391686,0.296099
